csi --collect_tagets=AppleWatch7FJ --collect_number=2000 --filter_mac=12:86:EA:F3:01:3E --start
csi> ;32mI (424078) app_main: ================ CSI RECV ================
type,sequence,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,10,533283,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-72,11,0,0,0,0,0,0,0,0,0,-95,0,11,2,532489085,0,28,0,128,1,"[28,-64,1,0,0,0,0,0,0,0,0,0,21,-16,22,-15,20,-13,20,-15,19,-13,18,-14,20,-13,18,-12,16,-12,15,-14,13,-12,14,-13,12,-13,10,-15,10,-16,9,-15,8,-17,6,-17,6,-18,5,-19,6,-19,5,-20,3,-22,4,-21,5,-22,3,-22,0,0,6,-22,7,-22,6,-21,6,-21,6,-22,6,-20,7,-22,5,-20,4,-21,5,-20,5,-22,3,-22,3,-20,5,-21,5,-21,5,-21,4,-21,5,-21,9,-23,8,-21,9,-21,13,-20,14,-17,13,-16,12,-15,13,-12,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,11,543986,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-71,11,0,0,0,0,0,0,0,0,0,-95,0,11,2,543192701,0,28,0,128,1,"[28,-64,1,0,0,0,0,0,0,0,0,0,4,59,3,63,8,66,7,64,8,67,9,66,11,68,9,69,10,68,14,63,14,62,13,61,12,62,11,59,13,53,11,53,12,52,8,49,8,44,10,42,10,37,9,36,6,29,15,25,6,25,6,22,0,0,3,17,4,15,8,9,5,13,2,9,0,9,-1,8,-6,8,-6,4,-6,6,-12,6,-15,7,-17,7,-18,6,-21,7,-24,9,-26,5,-30,8,-35,8,-41,8,-40,8,-48,7,-49,7,-53,5,-55,1,-57,1,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,12,545987,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-66,11,0,0,0,0,0,0,0,0,0,-95,0,11,2,545192350,0,28,0,128,1,"[28,-64,1,0,0,0,0,0,0,0,0,0,-10,7,-10,7,-9,7,-10,8,-9,7,-10,7,-9,8,-9,7,-9,7,-7,8,-7,7,-6,8,-6,8,-5,8,-4,9,-4,8,-3,9,-3,9,-2,10,-2,10,-1,11,-1,11,-1,11,0,11,0,12,1,12,0,0,1,13,2,13,2,13,3,13,2,14,2,14,3,14,3,14,3,15,4,15,4,16,5,16,3,16,3,18,3,18,3,19,2,19,1,19,0,20,-1,18,-1,18,-3,16,-3,17,-3,16,-3,15,-4,14,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,13,546028,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-67,11,0,0,0,0,0,0,0,0,0,-95,0,11,2,545234354,0,28,0,128,1,"[28,-64,1,0,0,0,0,0,0,0,0,0,-3,-23,-3,-23,-1,-23,-3,-22,-4,-21,-2,-21,-4,-22,-4,-19,-3,-18,-4,-18,-2,-17,-4,-15,-4,-14,-5,-12,-6,-11,-7,-10,-9,-9,-9,-7,-11,-7,-12,-6,-13,-6,-15,-5,-16,-5,-17,-4,-18,-4,-18,-4,0,0,-19,-5,-20,-5,-21,-4,-21,-6,-22,-5,-22,-5,-22,-6,-23,-6,-22,-7,-24,-6,-24,-8,-25,-7,-23,-8,-25,-8,-24,-8,-24,-10,-24,-11,-24,-11,-23,-12,-22,-13,-21,-13,-20,-13,-19,-15,-18,-14,-16,-14,-15,-14,0,0,0,0,0,0,0,0,0,0]"
CSI_DATA,14,561756,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-65,11,1,7,0,1,1,0,0,0,1,-95,0,11,2,560961814,0,82,0,256,1,"[82,32,5,0,0,0,0,0,0,0,0,0,-2,-19,-2,-19,-3,-19,-1,-19,0,-19,0,-18,0,-19,1,-18,0,-18,0,-17,0,-17,0,-16,1,-16,0,-15,0,-14,0,-13,0,-13,-1,-12,-1,-11,-2,-11,-3,-11,-3,-9,-4,-9,-4,-8,-5,-8,-6,-8,0,0,-7,-7,-8,-7,-9,-7,-10,-7,-10,-6,-11,-7,-12,-7,-13,-7,-13,-8,-13,-7,-14,-8,-15,-8,-14,-9,-15,-9,-15,-9,-15,-9,-16,-10,-15,-10,-16,-10,-15,-11,-16,-11,-15,-11,-15,-12,-15,-11,-15,-11,-15,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-34,-5,-34,-3,-37,-2,-37,-2,-35,1,-37,-1,-37,-1,-37,3,-35,2,-35,3,-35,2,-33,2,-30,3,-30,3,-28,1,-28,0,-27,0,-25,-1,-25,0,-22,-1,-21,-2,-20,-2,-20,-6,-18,-5,-18,-7,-17,-9,-16,-9,-14,0,0,-14,-15,-14,-12,-16,-10,-18,-14,-20,-12,-21,-14,-22,-14,-21,-13,-22,-14,-24,-17,-27,-15,-26,-16,-28,-19,-28,-18,-28,-17,-28,-17,-28,-17,-29,-21,-26,-20,-30,-19,-27,-20,-29,-21,-27,-24,-28,-23,-28,-23,-28,-24,-26,-23,-25,-26,0,0,0,0,0,0]"
CSI_DATA,15,608551,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-68,11,1,7,0,1,1,0,0,0,0,-95,0,11,2,607756724,0,82,0,256,1,"[82,32,5,0,0,0,0,0,0,0,0,0,6,-15,6,-14,6,-15,6,-14,6,-15,6,-15,6,-14,6,-14,6,-13,5,-13,5,-12,4,-12,4,-11,2,-10,2,-10,1,-8,-1,-9,-2,-8,-2,-8,-4,-7,-5,-8,-7,-8,-7,-8,-9,-7,-10,-6,-12,-6,0,0,-13,-7,-14,-7,-15,-7,-16,-7,-18,-7,-19,-8,-20,-9,-21,-9,-21,-10,-23,-9,-23,-11,-24,-11,-23,-11,-23,-12,-23,-13,-23,-13,-23,-13,-23,-14,-23,-15,-23,-14,-23,-14,-23,-15,-23,-14,-22,-15,-23,-15,-23,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-25,12,-26,12,-24,15,-27,14,-27,15,-28,14,-25,13,-27,14,-28,12,-26,14,-25,8,-23,10,-22,9,-19,7,-21,5,-18,5,-18,2,-16,1,-18,-2,-16,-4,-15,-9,-15,-12,-15,-13,-15,-13,-15,-16,-15,-16,-15,-21,-12,0,0,-25,-17,-24,-15,-29,-16,-29,-14,-33,-16,-33,-18,-37,-17,-36,-19,-38,-22,-39,-23,-39,-25,-45,-22,-41,-27,-43,-28,-41,-28,-42,-31,-41,-31,-41,-30,-41,-33,-40,-32,-41,-31,-41,-32,-40,-32,-41,-33,-40,-32,-41,-34,-37,-34,-39,-34,0,0,0,0,0,0]"
CSI_DATA,16,608568,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-67,11,1,7,0,1,1,0,0,0,1,-95,0,11,2,607757757,0,121,0,256,1,"[121,-112,7,0,0,0,0,0,0,0,0,0,7,9,7,10,7,10,7,10,7,9,7,10,6,10,6,10,6,9,6,8,6,8,6,7,5,6,5,5,5,4,5,3,6,3,5,2,6,1,6,-1,7,-1,6,-1,8,-2,8,-3,9,-4,9,-5,0,0,9,-6,10,-7,11,-7,11,-7,12,-9,13,-9,14,-10,14,-10,15,-10,17,-10,17,-10,17,-11,18,-11,18,-10,19,-9,19,-10,19,-9,20,-9,20,-9,20,-8,21,-9,19,-9,20,-7,20,-8,20,-7,20,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,9,20,10,22,8,22,11,23,9,23,10,20,9,19,11,22,10,20,9,20,8,20,9,19,7,17,9,14,7,13,9,10,10,7,10,6,11,9,10,4,11,2,15,0,14,0,14,-1,17,-3,17,-3,19,-5,0,0,20,-8,24,-10,22,-8,26,-10,24,-12,28,-11,29,-13,31,-15,33,-13,36,-13,36,-14,38,-13,36,-12,38,-11,41,-13,39,-12,40,-14,40,-11,41,-12,41,-8,41,-8,40,-8,41,-9,41,-6,40,-8,44,-9,43,-8,44,-5,0,0,0,0,0,0]"
CSI_DATA,17,608585,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-67,11,1,7,0,1,1,0,0,0,1,-95,0,11,2,607761316,0,121,0,256,1,"[121,-112,7,0,0,0,0,0,0,0,0,0,-9,-16,-9,-16,-9,-15,-8,-16,-9,-16,-9,-16,-10,-16,-8,-15,-8,-15,-8,-14,-7,-13,-6,-12,-7,-10,-7,-10,-6,-8,-8,-7,-8,-6,-9,-5,-9,-3,-10,-2,-11,-1,-12,-1,-12,0,-13,2,-13,3,-13,4,0,0,-15,4,-16,5,-17,7,-19,7,-19,9,-20,9,-22,9,-22,11,-23,9,-26,10,-26,10,-27,9,-27,8,-28,7,-29,8,-29,7,-29,6,-30,7,-29,7,-29,6,-30,8,-30,6,-31,6,-30,4,-30,4,-30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-30,-16,-29,-17,-32,-17,-31,-18,-31,-18,-32,-17,-30,-16,-30,-16,-31,-16,-29,-12,-30,-16,-27,-14,-26,-13,-21,-13,-20,-13,-15,-14,-15,-14,-11,-17,-12,-16,-9,-19,-8,-20,-3,-21,-2,-22,2,-22,3,-23,5,-25,6,-25,9,0,0,-30,12,-31,14,-33,18,-32,18,-36,22,-38,20,-41,24,-42,22,-44,24,-50,22,-50,21,-50,21,-50,23,-54,18,-54,22,-56,20,-55,18,-56,18,-57,17,-57,19,-54,16,-56,19,-60,16,-55,17,-54,12,-60,14,-54,13,-58,13,0,0,0,0,0,0]"
CSI_DATA,18,608665,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-69,11,1,7,0,1,1,0,0,0,1,-95,0,11,2,607871014,0,136,0,256,1,"[-120,-128,8,0,0,0,0,0,0,0,0,0,-11,-13,-10,-13,-11,-13,-10,-13,-10,-12,-9,-13,-10,-13,-9,-12,-9,-12,-8,-12,-8,-10,-7,-11,-8,-9,-6,-8,-6,-6,-6,-5,-6,-4,-6,-2,-7,-2,-6,0,-7,1,-8,1,-8,3,-8,5,-8,6,-8,8,0,0,-8,9,-9,10,-10,11,-10,12,-10,14,-11,14,-12,15,-13,16,-14,16,-14,18,-16,17,-16,19,-17,18,-18,17,-17,18,-18,17,-18,17,-19,18,-19,18,-20,18,-19,18,-20,18,-20,18,-20,17,-20,18,-21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,-23,-18,-22,-17,-26,-15,-25,-19,-25,-18,-26,-19,-25,-18,-24,-17,-24,-17,-25,-16,-25,-16,-23,-14,-20,-11,-19,-11,-15,-13,-15,-13,-12,-12,-8,-13,-9,-11,-6,-12,-3,-12,0,-14,0,-12,4,-15,5,-13,10,-15,11,-15,13,0,0,-17,19,-18,18,-20,20,-21,23,-21,26,-24,26,-25,29,-25,32,-29,32,-30,34,-31,31,-33,34,-31,34,-35,32,-35,38,-35,35,-36,32,-37,32,-38,32,-39,30,-38,35,-38,33,-36,37,-39,34,-40,33,-41,33,-40,32,-41,31,0,0,0,0,0,0]"
CSI_DATA,19,609131,2000,AppleWatch7FJ,12:86:ea:f3:01:3e,-69,11,1,7,0,1,1,0,0,0,1,-95,0,11,2,608337081,0,136,0,256,1,"[-120,-128,8,0,0,0,0,0,0,0,0,0,-11,-11,-10,-11,-10,-11,-10,-11,-9,-11,-9,-10,-9,-10,-9,-9,-8,-9,-8,-9,-8,-7,-8,-6,-8,-5,-7,-3,-8,-1,-9,-1,-8,-1,-9,2,-11,2,-11,3,-13,3,-12,5,-12,5,-14,7,-13,7,-14,8,0,0,-15,10,-16,11,-17,13,-18,12,-17,14,-19,14,-20,15,-21,16,-21,14,-23,17,-24,15,-25,16,-24,13,-25,13,-25,16,-26,14,-25,14,-25,13,-26,15,-26,15,-26,15,-26,17,-28,15,-28,16,-27,16,-28,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-19,-20,-19,-21,-19,-21,-18,-22,-19,-20,-17,-21,-19,-21,-18,-16,-18,-18,-17,-17,-14,-16,-12,-16,-13,-15,-9,-17,-6,-15,-1,-15,-3,-15,1,-15,4,-18,5,-18,4,-20,6,-21,13,-23,12,-22,13,-22,15,-25,19,-27,22,0,0,-27,21,-27,23,-28,30,-30,25,-35,30,-35,32,-35,32,-38,31,-40,30,-43,33,-42,30,-43,33,-42,32,-49,30,-47,31,-47,30,-46,26,-46,31,-48,33,-46,32,-47,33,-47,34,-49,34,-48,30,-47,29,-51,33,-52,30,-55,32,0,0,0,0,0,0]"
